Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.477,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.034,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.13,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.465,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.29,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.848,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.404,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.833,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.007,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.555,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.388,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.383,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,10.089,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,5.314,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,14.998,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.251,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.037,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.001,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.446,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.56,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.996,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.684,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.426,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.392,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.438,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.853,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.908,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.922,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.737,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.098,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.032,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.985,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.671,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.38,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,64.809,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.961,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.403,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.414,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.032,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.427,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.156,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.694,1
