Config,Organization,RAM,CPU,Source IP,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,164.90.215.117,1.513,1
bank_high_high,bank,high,high,85.192.56.68,2.09,0
bank_high_high,bank,high,high,164.90.215.117,1.384,1
bank_high_high,bank,high,high,45.148.10.117,1.479,1
bank_high_high,bank,high,high,164.90.215.117,1.394,1
bank_high_high,bank,high,high,170.64.239.73,3.053,1
bank_high_high,bank,high,high,164.90.215.117,1.417,1
bank_high_high,bank,high,high,170.64.239.73,3.129,1
bank_high_high,bank,high,high,170.64.239.73,3.51,1
bank_high_high,bank,high,high,170.64.239.73,3.166,1
bank_high_high,bank,high,high,170.64.239.73,3.186,1
bank_high_high,bank,high,high,170.64.239.73,3.079,1
bank_high_high,bank,high,high,134.209.239.102,1.286,1
bank_high_high,bank,high,high,164.90.215.117,1.416,1
bank_high_high,bank,high,high,146.190.57.200,1.484,3
bank_high_high,bank,high,high,164.90.215.117,1.402,1
bank_high_high,bank,high,high,164.90.215.117,1.477,1
bank_high_high,bank,high,high,209.97.174.245,2.034,0
bank_high_high,bank,high,high,109.120.156.140,1.13,0
bank_high_high,bank,high,high,164.90.215.117,1.465,1
bank_high_high,bank,high,high,64.225.98.83,1.29,3
bank_high_high,bank,high,high,64.225.98.83,0.848,0
bank_high_high,bank,high,high,92.255.85.107,2.404,0
bank_high_high,bank,high,high,59.11.27.79,3.833,0
bank_high_high,bank,high,high,157.173.115.218,1.007,0
bank_high_high,bank,high,high,115.127.158.91,2.555,0
bank_high_high,bank,high,high,115.127.158.91,2.388,0
bank_high_high,bank,high,high,115.127.158.91,3.383,3
bank_high_high,bank,high,high,79.110.62.21,10.089,0
bank_high_high,bank,high,high,194.169.175.38,5.314,0
bank_high_high,bank,high,high,154.212.141.144,14.998,0
bank_high_high,bank,high,high,46.19.143.66,1.251,0
bank_high_high,bank,high,high,139.59.120.249,2.037,0
bank_high_high,bank,high,high,139.59.120.249,2.001,0
bank_high_high,bank,high,high,164.90.215.117,1.446,1
bank_high_high,bank,high,high,164.90.215.117,1.56,1
bank_high_high,bank,high,high,139.59.31.108,4.996,3
bank_high_high,bank,high,high,164.90.215.117,1.684,1
bank_high_high,bank,high,high,164.90.215.117,1.426,1
bank_high_high,bank,high,high,164.90.215.117,1.392,1
bank_high_high,bank,high,high,164.90.215.117,1.438,1
bank_high_high,bank,high,high,164.90.215.117,1.853,1
bank_high_high,bank,high,high,164.90.215.117,1.908,1
bank_high_high,bank,high,high,194.169.175.38,3.922,0
bank_high_high,bank,high,high,164.90.215.117,1.737,1
bank_high_high,bank,high,high,182.253.191.50,2.098,0
bank_high_high,bank,high,high,164.90.215.117,1.032,0
bank_high_high,bank,high,high,164.90.215.117,0.985,0
bank_high_high,bank,high,high,14.29.198.130,3.671,0
bank_high_high,bank,high,high,164.90.215.117,1.38,1
bank_high_high,bank,high,high,103.156.90.66,64.809,0
bank_high_high,bank,high,high,164.90.215.117,1.961,1
bank_high_high,bank,high,high,164.90.215.117,1.403,1
bank_high_high,bank,high,high,164.90.215.117,1.414,1
bank_high_high,bank,high,high,185.248.144.9,1.032,0
bank_high_high,bank,high,high,164.90.215.117,1.427,1
bank_high_high,bank,high,high,164.90.215.117,4.156,1
bank_high_high,bank,high,high,164.90.215.117,1.694,1
bank_high_high,bank,high,high,164.90.215.117,1.982,1
bank_high_high,bank,high,high,164.90.215.117,2.194,1
bank_high_high,bank,high,high,164.90.215.117,2.264,1
bank_high_high,bank,high,high,164.90.215.117,1.957,1
bank_high_high,bank,high,high,175.206.83.107,2.4,0
bank_high_high,bank,high,high,207.154.215.181,0.972,0
bank_high_high,bank,high,high,189.178.62.151,0.949,0
bank_high_high,bank,high,high,189.178.62.151,0.931,0
bank_high_high,bank,high,high,189.178.62.151,0.917,0
bank_high_high,bank,high,high,164.90.215.117,1.619,1
bank_high_high,bank,high,high,164.90.215.117,1.394,1
bank_high_high,bank,high,high,164.90.215.117,1.355,1
bank_high_high,bank,high,high,218.255.103.194,2.532,3
bank_high_high,bank,high,high,198.74.58.166,0.21,0
bank_high_high,bank,high,high,198.74.58.166,0.712,3
bank_high_high,bank,high,high,201.16.147.253,2.378,3
bank_high_high,bank,high,high,164.90.215.117,1.403,1
bank_high_high,bank,high,high,164.90.215.117,2.064,1
bank_high_high,bank,high,high,164.90.215.117,1.379,1
bank_high_high,bank,high,high,164.90.215.117,1.39,1
bank_high_high,bank,high,high,91.203.177.71,1.123,0
bank_high_high,bank,high,high,85.192.56.68,2.433,0
bank_high_high,bank,high,high,184.180.21.25,1.241,1
